R-Peaks (Sample Index),R-R Interval (Samples)
1900035,1000.0
1900083,960.0
1900132,980.0
1900182,1000.0
1900233,1020.0
1900282,980.0
1900332,1000.0
1900382,1000.0
1900431,980.0
1900480,980.0
1900529,980.0
1900579,1000.0
1900628,980.0
1900676,960.0
1900726,1000.0
1900778,1040.0
1900828,1000.0
1900877,980.0
1900927,1000.0
1900977,1000.0
1901026,980.0
1901073,940.0
1901122,980.0
1901174,1040.0
1901223,980.0
1901272,980.0
1901322,1000.0
1901372,1000.0
1901421,980.0
1901470,980.0
1901521,1020.0
1901569,960.0
1901614,900.0
1901659,900.0
1901708,980.0
1901755,940.0
1901800,900.0
1901848,960.0
1901898,1000.0
1901945,940.0
1901991,920.0
1902042,1020.0
1902093,1020.0
1902140,940.0
1902187,940.0
1902236,980.0
1902285,980.0
1902331,920.0
1902377,920.0
1902428,1020.0
1902478,1000.0
1902524,920.0
1902569,900.0
1902620,1020.0
1902669,980.0
1902716,940.0
1902765,980.0
1902820,1100.0
1902872,1040.0
1902921,980.0
1902970,980.0
1903019,980.0
1903066,940.0
1903111,900.0
1903159,960.0
1903209,1000.0
1903255,920.0
1903300,900.0
1903347,940.0
1903397,1000.0
1903443,920.0
1903488,900.0
1903536,960.0
1903586,1000.0
1903633,940.0
1903678,900.0
1903725,940.0
1903772,940.0
1903817,900.0
1903861,880.0
1903911,1000.0
1903962,1020.0
1904009,940.0
1904056,940.0
1904107,1020.0
1904157,1000.0
1904204,940.0
1904251,940.0
1904304,1060.0
1904357,1060.0
1904408,1020.0
1904461,1060.0
1904515,1080.0
1904567,1040.0
1904619,1040.0
1904671,1040.0
1904720,980.0
1904765,900.0
1904810,900.0
1904865,1100.0
1904916,1020.0
1904966,1000.0
1905018,1040.0
1905070,1040.0
1905121,1020.0
1905172,1020.0
1905222,1000.0
1905273,1020.0
1905322,980.0
1905368,920.0
1905417,980.0
1905468,1020.0
1905514,920.0
1905560,920.0
1905606,920.0
1905655,980.0
1905700,900.0
1905743,860.0
1905788,900.0
1905835,940.0
1905880,900.0
1905924,880.0
1905970,920.0
1906025,1100.0
1906074,980.0
1906123,980.0
1906174,1020.0
1906224,1000.0
1906271,940.0
1906317,920.0
1906367,1000.0
1906418,1020.0
1906464,920.0
1906512,960.0
1906559,940.0
1906605,920.0
1906648,860.0
1906693,900.0
1906742,980.0
1906792,1000.0
1906840,960.0
1906888,960.0
1906941,1060.0
1906990,980.0
1907038,960.0
1907085,940.0
1907134,980.0
1907186,1040.0
1907236,1000.0
1907287,1020.0
1907337,1000.0
1907384,940.0
1907431,940.0
1907486,1100.0
1907537,1020.0
1907586,980.0
1907635,980.0
1907687,1040.0
1907736,980.0
1907782,920.0
1907830,960.0
1907882,1040.0
1907932,1000.0
1907981,980.0
1908031,1000.0
1908084,1060.0
1908133,980.0
1908182,980.0
1908232,1000.0
1908281,980.0
1908326,900.0
1908372,920.0
1908427,1100.0
1908479,1040.0
1908529,1000.0
1908579,1000.0
1908626,940.0
1908674,960.0
1908720,920.0
1908771,1020.0
1908825,1080.0
1908875,1000.0
1908924,980.0
1908976,1040.0
1909027,1020.0
1909074,940.0
1909119,900.0
1909168,980.0
1909220,1040.0
1909267,940.0
1909313,920.0
1909363,1000.0
1909413,1000.0
1909460,940.0
1909509,980.0
1909561,1040.0
