# session_0,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10,session_11,session_12,session_13,session_14,session_15,session_16,session_17,session_18,session_19,session_20,session_21,session_22,session_23,session_24,session_25,session_26
0,0,64,66,0,0,65,68,61,59,60,0,64,60,61,64,58,63,61,0,62,60,0,67,63,64,68
0,0,64,0,0,0,65,68,61,59,60,0,64,60,61,64,58,63,61,0,61,60,0,67,63,64,68
67,0,64,0,0,0,65,68,61,59,60,0,64,60,61,0,58,63,61,0,61,60,0,67,63,64,68
67,0,64,0,65,0,67,68,61,60,60,0,62,60,61,0,58,63,61,0,61,60,0,67,62,0,68
67,0,64,0,65,0,65,67,62,62,60,0,61,61,64,0,59,67,61,0,61,60,0,66,62,0,68
0,0,69,0,65,0,65,67,63,62,60,0,61,61,64,0,58,67,61,0,61,0,0,66,62,0,71
0,0,69,0,65,0,67,65,63,62,0,0,61,61,64,0,59,67,61,0,60,0,0,65,62,0,71
0,0,75,0,65,65,67,64,63,61,0,0,61,61,66,63,60,67,61,0,60,0,0,65,62,0,0
0,0,75,0,65,65,67,63,63,60,0,0,60,62,66,63,60,65,61,0,60,0,62,61,62,0,0
0,0,75,0,65,65,68,63,63,60,0,0,61,62,66,63,62,65,61,0,61,0,62,61,62,0,0
0,0,75,0,65,65,68,63,63,61,0,0,61,62,66,63,62,63,61,66,61,0,62,61,62,0,0
0,69,72,0,65,65,68,63,62,60,61,0,60,62,64,63,62,63,61,66,61,0,63,61,62,0,0
0,69,72,0,65,65,68,61,60,61,61,0,61,62,64,63,62,63,61,65,60,0,63,61,64,67,0
0,69,72,0,65,65,68,60,59,60,62,68,60,62,64,63,62,63,61,64,60,0,65,61,64,67,0
0,69,71,0,65,65,68,60,59,60,65,66,60,61,64,63,62,63,61,64,60,0,65,61,64,67,253
0,69,70,0,0,65,68,60,59,60,65,66,60,60,64,60,62,64,61,64,62,0,65,61,64,67,1
0,69,70,0,0,65,68,60,59,60,0,65,60,60,64,60,62,64,0,64,62,0,65,61,64,67,0
0,69,69,0,0,65,68,60,59,60,0,65,60,60,64,59,62,62,0,63,60,0,65,62,64,67,0
