# session_0,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10,session_11,session_12,session_13,session_14,session_15,session_16,session_17,session_18,session_19,session_20,session_21,session_22,session_23,session_24,session_25,session_26,session_27
78,57,55,54,51,57,61,56,61,62,55,63,57,57,75,54,57,61,64,55,55,61,62,58,56,57,58,55
78,57,55,54,51,57,61,56,61,61,55,63,57,59,75,54,55,61,64,55,56,61,62,58,56,57,58,55
78,57,55,54,51,55,61,56,61,61,55,62,57,59,75,54,55,61,64,54,57,61,62,58,56,57,58,55
78,57,55,54,51,55,61,62,61,61,54,59,57,59,75,51,55,61,64,54,57,61,62,60,56,57,58,56
78,50,55,54,51,56,60,66,61,55,55,56,57,59,75,51,57,59,64,54,57,61,62,59,56,57,58,60
78,50,55,53,51,57,58,67,61,52,55,56,57,63,75,54,57,57,64,54,57,61,62,59,57,57,59,61
78,50,55,52,51,58,58,67,61,52,55,56,58,65,74,54,57,57,64,56,57,61,62,60,57,58,58,61
78,50,55,52,54,59,58,67,60,53,63,59,57,65,71,56,57,57,64,54,56,61,60,60,57,58,58,0
78,50,55,51,54,59,58,67,60,55,66,59,57,65,71,56,57,57,64,53,54,64,59,60,57,58,58,0
78,50,54,50,54,62,58,67,60,55,66,56,57,68,71,51,59,57,64,53,54,65,59,59,56,58,56,0
78,50,54,51,54,60,54,66,62,53,66,58,57,69,71,51,59,58,61,53,56,65,58,59,56,58,56,0
78,50,55,52,54,59,54,66,64,55,63,58,57,69,63,56,59,57,59,53,58,65,58,59,57,58,56,0
78,50,54,51,54,59,53,66,62,56,63,58,57,69,59,56,59,56,58,53,57,65,58,53,57,58,56,0
78,51,54,51,54,60,51,63,62,56,63,60,57,70,58,56,59,58,58,53,57,65,58,53,57,58,56,0
78,51,54,51,55,63,51,61,62,56,63,58,57,71,58,56,59,59,56,55,57,62,58,53,57,58,56,253
77,51,54,52,55,63,53,61,62,56,63,58,57,71,58,56,59,58,55,55,57,62,58,57,57,58,56,55
77,51,54,51,55,63,53,61,62,56,63,58,57,74,55,55,60,58,55,55,58,62,58,57,57,58,55,0
77,51,54,51,55,60,55,61,62,56,63,58,57,74,53,55,60,58,56,55,58,62,58,56,57,58,55,0
