# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,Arr,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,0,0,0,0,0,0,0,0,0,0,0,59,418,15,66,20,0,0
20000,1,0,0,0,0,0,0,0,0,0,0,0,84,415,20,65,27,0,0
40000,2,0,0,0,0,0,0,0,0,0,0,0,97,403,12,61,24,0,0
60000,3,0,0,0,0,0,0,0,0,0,0,0,89,424,16,68,18,0,0
80000,4,0,0,0,0,0,0,0,0,0,0,0,95,424,13,65,12,0,0
100000,5,0,0,0,0,0,0,0,0,0,0,0,92,408,13,60,15,0,0
120000,6,0,0,0,0,0,0,0,0,0,0,0,97,415,13,60,21,0,0
140000,7,0,0,0,0,0,0,0,0,0,0,0,87,419,17,61,20,0,0
160000,8,0,0,0,0,0,0,0,0,0,0,0,97,421,15,61,14,0,0
180000,9,0,0,0,0,0,0,0,0,0,0,0,93,409,14,58,19,0,0
200000,10,0,0,0,0,0,0,0,0,0,0,0,97,419,15,61,15,0,0
220000,11,0,0,0,0,0,0,0,0,0,0,0,97,416,15,60,14,0,0
240000,12,0,0,0,0,0,0,0,0,0,0,0,97,416,15,60,13,0,0
260000,13,0,0,0,0,0,0,0,0,0,0,0,96,409,17,58,18,0,0
280000,14,0,0,0,0,0,0,0,0,0,0,0,97,409,16,58,18,0,0
300000,15,0,0,0,0,0,0,0,0,0,0,0,93,415,18,60,12,0,0
320000,16,0,0,0,0,0,0,0,0,0,0,0,93,414,19,60,12,0,0
340000,17,0,0,0,0,0,0,0,0,0,0,0,98,409,19,58,14,0,0
360000,18,0,0,0,0,0,0,0,0,0,0,0,92,414,17,60,11,0,0
380000,19,0,0,0,0,0,0,0,0,0,0,0,98,418,18,60,12,0,0
400000,20,0,0,0,0,0,0,0,0,0,0,0,97,413,16,61,13,0,0
420000,21,0,0,0,0,0,0,0,0,0,0,0,89,420,18,64,5,0,0
440000,22,0,0,0,0,0,0,0,0,0,0,0,97,418,15,60,6,0,0
460000,23,0,0,0,0,0,0,0,0,0,0,0,97,406,14,60,5,0,0
480000,24,0,0,0,0,0,0,0,0,0,0,0,93,407,16,59,9,0,0
500000,25,0,0,0,0,0,0,0,0,0,0,0,97,410,15,60,8,0,0
520000,26,0,0,0,0,0,0,0,0,0,0,0,97,418,13,60,4,0,0
540000,27,0,0,0,0,0,0,0,0,0,0,0,98,416,16,60,4,0,0
560000,28,0,0,0,0,0,0,0,0,0,0,0,93,411,13,61,2,0,0
580000,29,0,0,0,0,0,0,0,0,0,0,0,92,414,13,60,6,0,0
600000,30,0,0,0,0,0,0,0,0,0,0,0,93,415,16,60,9,0,0
620000,31,0,0,0,0,0,0,0,0,0,0,0,89,425,17,62,10,0,0
